ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
222,Nibiru,0.30000123,0.24640971,0.1,0.1,0.2,"HOT, DENSE, DRY, DEAD, HILLS, SANDY, WASTELAND",stevekung.mods.moreplanets.planets.nibiru.worldgen.BiomeGenBaseNibiru
223,Koentus,0.20000063,0.5464097,0.1,0.1,0.2,"COLD, SPARSE, DRY, SPOOKY, DEAD",stevekung.mods.moreplanets.moons.koentus.worldgen.BiomeGenBaseKoentus
224,Coconut Forest,0.6000013,1.4464097,0.1,0.1,0.2,FOREST,stevekung.mods.moreplanets.planets.fronos.worldgen.biome.BiomeGenCoconutForest
225,Kapteyn B,0.20000063,0.5464097,0.1,0.1,0.2,"COLD, SPARSE, DRY, DEAD",stevekung.mods.moreplanets.planets.kapteynb.worldgen.BiomeGenBaseKapteynB
226,Sirius B,0.30000123,0.5464097,0.1,0.1,0.2,"HOT, SPARSE, DRY, SPOOKY, DEAD",stevekung.mods.moreplanets.planets.siriusb.worldgen.BiomeGenBaseSiriusB
240,Mercury,0.30000123,0.5464097,0.1,0.1,0.2,"HOT, DRY, DEAD",stevekung.mods.moreplanets.planets.mercury.worldgen.BiomeGenBaseMercury
241,Venus,0.30000123,0.24640971,0.1,0.1,0.2,"HOT, DENSE, DRY, DEAD, HILLS, SANDY",stevekung.mods.moreplanets.planets.venus.worldgen.BiomeGenBaseVenus
242,Pluto,0.20000063,0.5464097,0.1,0.1,0.2,"COLD, DRY, SPOOKY, DEAD",stevekung.mods.moreplanets.planets.pluto.worldgen.BiomeGenBasePluto
244,Golden Field,0.9500008,1.1732049,0.1,0.125,0.05,"LUSH, PLAINS",stevekung.mods.moreplanets.planets.fronos.worldgen.biome.BiomeGenGoldenField
245,Purple Maple Forest,0.6000013,1.4464097,0.1,0.1,0.2,FOREST,stevekung.mods.moreplanets.planets.fronos.worldgen.biome.BiomeGenPurpleMapleForest
246,Maple Forest,0.6000013,1.4464097,0.1,0.1,0.2,FOREST,stevekung.mods.moreplanets.planets.fronos.worldgen.biome.BiomeGenMapleForest
247,Grassy Plains,0.9500008,1.1732049,0.1,0.125,0.05,"LUSH, PLAINS",stevekung.mods.moreplanets.planets.fronos.worldgen.biome.BiomeGenGrassyPlains
248,Candy Land,0.75000125,1.4464097,0.1,0.125,0.05,MAGICAL,stevekung.mods.moreplanets.planets.fronos.worldgen.biome.BiomeGenCandyLand
